setID,compound,condition,id,time,dv
DMSO,DMSO,-,4,950,0.357957
DMSO,DMSO,-,4,1000,0.321563
DMSO,DMSO,-,4,1050,0.337826
DMSO,DMSO,-,4,1100,0.333094
DMSO,DMSO,-,4,1150,0.324399
DMSO,DMSO,-,4,1200,0.295667
DMSO,DMSO,-,4,1250,0.333751
DMSO,DMSO,-,4,1300,0.300305
DMSO,DMSO,-,4,1350,0.23794
DMSO,DMSO,-,4,1400,0.247686
DMSO,DMSO,-,4,1450,0.248099
DMSO,DMSO,-,4,1500,0.243442
DMSO,DMSO,-,4,1550,0.259329
DMSO,DMSO,-,4,1600,0.262935
DMSO,DMSO,-,4,1650,0.248062
DMSO,DMSO,-,4,1700,0.219837
DMSO,DMSO,-,4,1750,0.205903
DMSO,DMSO,-,4,1800,0.225226
DMSO,DMSO,-,5,0,-0.00286
DMSO,DMSO,-,5,50,0.394342
DMSO,DMSO,-,5,100,0.636007
DMSO,DMSO,-,5,150,0.684736
DMSO,DMSO,-,5,200,0.719889
DMSO,DMSO,-,5,250,0.735974
DMSO,DMSO,-,5,300,0.686998
DMSO,DMSO,-,5,350,0.630475
DMSO,DMSO,-,5,400,0.623478
DMSO,DMSO,-,5,450,0.623668
DMSO,DMSO,-,5,500,0.544482
DMSO,DMSO,-,5,550,0.53893
DMSO,DMSO,-,5,600,0.524348
DMSO,DMSO,-,5,650,0.476874
DMSO,DMSO,-,5,700,0.431891
DMSO,DMSO,-,5,750,0.437386
DMSO,DMSO,-,5,800,0.38995
DMSO,DMSO,-,5,850,0.381147
DMSO,DMSO,-,5,900,0.373314
DMSO,DMSO,-,5,950,0.353218
DMSO,DMSO,-,5,1000,0.362648
DMSO,DMSO,-,5,1050,0.3528
DMSO,DMSO,-,5,1100,0.310365
DMSO,DMSO,-,5,1150,0.277607
DMSO,DMSO,-,5,1200,0.266408
DMSO,DMSO,-,5,1250,0.287113
DMSO,DMSO,-,5,1300,0.278652
DMSO,DMSO,-,5,1350,0.246578
DMSO,DMSO,-,5,1400,0.264393
DMSO,DMSO,-,5,1450,0.28255
DMSO,DMSO,-,5,1500,0.26272
DMSO,DMSO,-,5,1550,0.242453
DMSO,DMSO,-,5,1600,0.257872
DMSO,DMSO,-,5,1650,0.214105
DMSO,DMSO,-,5,1700,0.210018
DMSO,DMSO,-,5,1750,0.222205
DMSO,DMSO,-,5,1800,0.250172
DMSO,DMSO,-,6,0,0.008564
DMSO,DMSO,-,6,50,0.377397
DMSO,DMSO,-,6,100,0.554069
DMSO,DMSO,-,6,150,0.61128
DMSO,DMSO,-,6,200,0.640266
DMSO,DMSO,-,6,250,0.671792
DMSO,DMSO,-,6,300,0.60542
DMSO,DMSO,-,6,350,0.611846
DMSO,DMSO,-,6,400,0.560866
DMSO,DMSO,-,6,450,0.522368
DMSO,DMSO,-,6,500,0.534029
DMSO,DMSO,-,6,550,0.464317
DMSO,DMSO,-,6,600,0.415778
DMSO,DMSO,-,6,650,0.444491
DMSO,DMSO,-,6,700,0.411012
DMSO,DMSO,-,6,750,0.403082
DMSO,DMSO,-,6,800,0.344602
DMSO,DMSO,-,6,850,0.319815
DMSO,DMSO,-,6,900,0.357747
DMSO,DMSO,-,6,950,0.320069
DMSO,DMSO,-,6,1000,0.303876
DMSO,DMSO,-,6,1050,0.259498
DMSO,DMSO,-,6,1100,0.277625
DMSO,DMSO,-,6,1150,0.242095
DMSO,DMSO,-,6,1200,0.286278
DMSO,DMSO,-,6,1250,0.228422
DMSO,DMSO,-,6,1300,0.249517
DMSO,DMSO,-,6,1350,0.22432
DMSO,DMSO,-,6,1400,0.207151
DMSO,DMSO,-,6,1450,0.222445
DMSO,DMSO,-,6,1500,0.203811
DMSO,DMSO,-,6,1550,0.207952
DMSO,DMSO,-,6,1600,0.17504
DMSO,DMSO,-,6,1650,0.240298
DMSO,DMSO,-,6,1700,0.178868
DMSO,DMSO,-,6,1750,0.207835
DMSO,DMSO,-,6,1800,0.184376
DMSO,DMSO,-,25,0,-0.00818
DMSO,DMSO,-,25,50,0.26061
DMSO,DMSO,-,25,100,0.645613
DMSO,DMSO,-,25,150,0.708244
DMSO,DMSO,-,25,200,0.660734
DMSO,DMSO,-,25,250,0.695654
DMSO,DMSO,-,25,300,0.691069
DMSO,DMSO,-,25,350,0.598445
DMSO,DMSO,-,25,400,0.49631
DMSO,DMSO,-,25,450,0.488692
DMSO,DMSO,-,25,500,0.429413
DMSO,DMSO,-,25,550,0.42898
DMSO,DMSO,-,25,600,0.354352
DMSO,DMSO,-,25,650,0.338249
DMSO,DMSO,-,25,700,0.286771
DMSO,DMSO,-,25,750,0.328054
DMSO,DMSO,-,25,800,0.300387
DMSO,DMSO,-,25,850,0.249708
DMSO,DMSO,-,25,900,0.262275
DMSO,DMSO,-,25,950,0.239284
DMSO,DMSO,-,25,1000,0.231872
DMSO,DMSO,-,25,1050,0.193348
DMSO,DMSO,-,25,1100,0.18954
DMSO,DMSO,-,25,1150,0.192094
DMSO,DMSO,-,25,1200,0.218962
DMSO,DMSO,-,25,1250,0.188513
DMSO,DMSO,-,25,1300,0.145702
DMSO,DMSO,-,25,1350,0.170814
DMSO,DMSO,-,25,1400,0.177793
DMSO,DMSO,-,25,1450,0.214058
DMSO,DMSO,-,25,1500,0.153274
DMSO,DMSO,-,25,1550,0.177748
DMSO,DMSO,-,25,1600,0.175695
DMSO,DMSO,-,25,1650,0.200716
DMSO,DMSO,-,25,1700,0.164154
DMSO,DMSO,-,25,1750,0.16331
DMSO,DMSO,-,25,1800,0.136921
DMSO,DMSO,-,26,0,0.011827
DMSO,DMSO,-,26,50,0.414124
DMSO,DMSO,-,26,100,0.658416
DMSO,DMSO,-,26,150,0.677678
DMSO,DMSO,-,26,200,0.70426
DMSO,DMSO,-,26,250,0.660681
DMSO,DMSO,-,26,300,0.572814
DMSO,DMSO,-,26,350,0.536602
DMSO,DMSO,-,26,400,0.520771
DMSO,DMSO,-,26,450,0.473029
DMSO,DMSO,-,26,500,0.443222
DMSO,DMSO,-,26,550,0.368212
DMSO,DMSO,-,26,600,0.371094
DMSO,DMSO,-,26,650,0.360342
DMSO,DMSO,-,26,700,0.281237
DMSO,DMSO,-,26,750,0.287642
DMSO,DMSO,-,26,800,0.28007
DMSO,DMSO,-,26,850,0.280185
DMSO,DMSO,-,26,900,0.264995
DMSO,DMSO,-,26,950,0.280848
DMSO,DMSO,-,26,1000,0.222606
DMSO,DMSO,-,26,1050,0.186073
DMSO,DMSO,-,26,1100,0.202178
DMSO,DMSO,-,26,1150,0.183694
DMSO,DMSO,-,26,1200,0.216544
DMSO,DMSO,-,26,1250,0.16553
DMSO,DMSO,-,26,1300,0.186027
DMSO,DMSO,-,26,1350,0.128563
DMSO,DMSO,-,26,1400,0.215995
DMSO,DMSO,-,26,1450,0.217711
DMSO,DMSO,-,26,1500,0.155762
DMSO,DMSO,-,26,1550,0.178982
DMSO,DMSO,-,26,1600,0.172508
DMSO,DMSO,-,26,1650,0.182184
DMSO,DMSO,-,26,1700,0.110697
DMSO,DMSO,-,26,1750,0.114288
DMSO,DMSO,-,26,1800,0.117422
DMSO,DMSO,-,27,0,-0.01857
DMSO,DMSO,-,27,50,0.454774
DMSO,DMSO,-,27,100,0.722001
DMSO,DMSO,-,27,150,0.727528
DMSO,DMSO,-,27,200,0.744064
DMSO,DMSO,-,27,250,0.724865
DMSO,DMSO,-,27,300,0.628174
DMSO,DMSO,-,27,350,0.588679
DMSO,DMSO,-,27,400,0.559521
DMSO,DMSO,-,27,450,0.535511
DMSO,DMSO,-,27,500,0.45285
DMSO,DMSO,-,27,550,0.423021
DMSO,DMSO,-,27,600,0.384197
DMSO,DMSO,-,27,650,0.372248
DMSO,DMSO,-,27,700,0.342598
DMSO,DMSO,-,27,750,0.33414
DMSO,DMSO,-,27,800,0.282583
DMSO,DMSO,-,27,850,0.270433
DMSO,DMSO,-,27,900,0.222277
DMSO,DMSO,-,27,950,0.274483
DMSO,DMSO,-,27,1000,0.255776
DMSO,DMSO,-,27,1050,0.198491
DMSO,DMSO,-,27,1100,0.204197
DMSO,DMSO,-,27,1150,0.237762
DMSO,DMSO,-,27,1200,0.194239
DMSO,DMSO,-,27,1250,0.24226
DMSO,DMSO,-,27,1300,0.220957
DMSO,DMSO,-,27,1350,0.197685
DMSO,DMSO,-,27,1400,0.17533
DMSO,DMSO,-,27,1450,0.14953
DMSO,DMSO,-,27,1500,0.161904
DMSO,DMSO,-,27,1550,0.133284
DMSO,DMSO,-,27,1600,0.13899
DMSO,DMSO,-,27,1650,0.156914
DMSO,DMSO,-,27,1700,0.131046
DMSO,DMSO,-,27,1750,0.155818
DMSO,DMSO,-,27,1800,0.129994
DMSO,DMSO,-,28,0,-0.00636
DMSO,DMSO,-,28,50,0.45627
DMSO,DMSO,-,28,100,0.586443
DMSO,DMSO,-,28,150,0.661252
DMSO,DMSO,-,28,200,0.604036
DMSO,DMSO,-,28,250,0.612729
DMSO,DMSO,-,28,300,0.579282
DMSO,DMSO,-,28,350,0.544531
DMSO,DMSO,-,28,400,0.486903
DMSO,DMSO,-,28,450,0.423578
DMSO,DMSO,-,28,500,0.417858
DMSO,DMSO,-,28,550,0.390131
DMSO,DMSO,-,28,600,0.354121
DMSO,DMSO,-,28,650,0.298575
DMSO,DMSO,-,28,700,0.271511
DMSO,DMSO,-,28,750,0.278809
DMSO,DMSO,-,28,800,0.24408
DMSO,DMSO,-,28,850,0.227586
DMSO,DMSO,-,28,900,0.225023
DMSO,DMSO,-,28,950,0.227426
DMSO,DMSO,-,28,1000,0.20464
DMSO,DMSO,-,28,1050,0.207545
DMSO,DMSO,-,28,1100,0.232207
DMSO,DMSO,-,28,1150,0.192743
DMSO,DMSO,-,28,1200,0.138958
DMSO,DMSO,-,28,1250,0.161721
DMSO,DMSO,-,28,1300,0.236119
DMSO,DMSO,-,28,1350,0.200361
DMSO,DMSO,-,28,1400,0.113747
DMSO,DMSO,-,28,1450,0.122143
DMSO,DMSO,-,28,1500,0.134611
DMSO,DMSO,-,28,1550,0.155476
DMSO,DMSO,-,28,1600,0.154767
DMSO,DMSO,-,28,1650,0.130333
DMSO,DMSO,-,28,1700,0.152662
DMSO,DMSO,-,28,1750,0.148063
DMSO,DMSO,-,28,1800,0.128183
DMSO,DMSO,-,29,0,-8.00E-04
DMSO,DMSO,-,29,50,0.625633
DMSO,DMSO,-,29,100,0.827311
DMSO,DMSO,-,29,150,0.897519
DMSO,DMSO,-,29,200,0.837256
DMSO,DMSO,-,29,250,0.794703
DMSO,DMSO,-,29,300,0.743244
DMSO,DMSO,-,29,350,0.669388
DMSO,DMSO,-,29,400,0.623859
DMSO,DMSO,-,29,450,0.582631
DMSO,DMSO,-,29,500,0.5187
DMSO,DMSO,-,29,550,0.499441
DMSO,DMSO,-,29,600,0.454239
DMSO,DMSO,-,29,650,0.399499
DMSO,DMSO,-,29,700,0.406
DMSO,DMSO,-,29,750,0.359412
DMSO,DMSO,-,29,800,0.311315
DMSO,DMSO,-,29,850,0.325765
DMSO,DMSO,-,29,900,0.291853
DMSO,DMSO,-,29,950,0.303938
DMSO,DMSO,-,29,1000,0.266786
DMSO,DMSO,-,29,1050,0.254925
DMSO,DMSO,-,29,1100,0.267295
DMSO,DMSO,-,29,1150,0.252377
DMSO,DMSO,-,29,1200,0.224722
DMSO,DMSO,-,29,1250,0.236399
DMSO,DMSO,-,29,1300,0.194091
DMSO,DMSO,-,29,1350,0.200551
DMSO,DMSO,-,29,1400,0.202936
DMSO,DMSO,-,29,1450,0.196639
DMSO,DMSO,-,29,1500,0.210762
DMSO,DMSO,-,29,1550,0.150417
DMSO,DMSO,-,29,1600,0.169268
DMSO,DMSO,-,29,1650,0.162828
DMSO,DMSO,-,29,1700,0.164826
DMSO,DMSO,-,29,1750,0.139066
DMSO,DMSO,-,29,1800,0.125656
DMSO,DMSO,-,30,0,-0.01203
DMSO,DMSO,-,30,50,0.49856
DMSO,DMSO,-,30,100,0.588081
DMSO,DMSO,-,30,150,0.61379
DMSO,DMSO,-,30,200,0.595337
DMSO,DMSO,-,30,250,0.530397
DMSO,DMSO,-,30,300,0.538506
DMSO,DMSO,-,30,350,0.467046
DMSO,DMSO,-,30,400,0.442305
DMSO,DMSO,-,30,450,0.362805
DMSO,DMSO,-,30,500,0.37407
DMSO,DMSO,-,30,550,0.335852
DMSO,DMSO,-,30,600,0.293349
DMSO,DMSO,-,30,650,0.284734
DMSO,DMSO,-,30,700,0.247299
DMSO,DMSO,-,30,750,0.25444
DMSO,DMSO,-,30,800,0.250754
DMSO,DMSO,-,30,850,0.202562
DMSO,DMSO,-,30,900,0.178465
DMSO,DMSO,-,30,950,0.21438
DMSO,DMSO,-,30,1000,0.152572
DMSO,DMSO,-,30,1050,0.167546
DMSO,DMSO,-,30,1100,0.172614
DMSO,DMSO,-,30,1150,0.141883
DMSO,DMSO,-,30,1200,0.175701
DMSO,DMSO,-,30,1250,0.132784
DMSO,DMSO,-,30,1300,0.139326
DMSO,DMSO,-,30,1350,0.109816
DMSO,DMSO,-,30,1400,0.130388
DMSO,DMSO,-,30,1450,0.126633
DMSO,DMSO,-,30,1500,0.111682
DMSO,DMSO,-,30,1550,0.09892
DMSO,DMSO,-,30,1600,0.086065
DMSO,DMSO,-,30,1650,0.116289
DMSO,DMSO,-,30,1700,0.11205
DMSO,DMSO,-,30,1750,0.136354
DMSO,DMSO,-,30,1800,0.094381
DMSO,DMSO,-,55,0,0.002589
DMSO,DMSO,-,55,50,0.138782
DMSO,DMSO,-,55,100,0.479781
DMSO,DMSO,-,55,150,0.649408
DMSO,DMSO,-,55,200,0.741249
DMSO,DMSO,-,55,250,0.746411
DMSO,DMSO,-,55,300,0.74379
DMSO,DMSO,-,55,350,0.776786
DMSO,DMSO,-,55,400,0.690107
DMSO,DMSO,-,55,450,0.713097
DMSO,DMSO,-,55,500,0.595089
DMSO,DMSO,-,55,550,0.592389
DMSO,DMSO,-,55,600,0.644206
DMSO,DMSO,-,55,650,0.541287
DMSO,DMSO,-,55,700,0.460961
DMSO,DMSO,-,55,750,0.467711
DMSO,DMSO,-,55,800,0.426654
DMSO,DMSO,-,55,850,0.385717
DMSO,DMSO,-,55,900,0.367452
DMSO,DMSO,-,55,950,0.375314
DMSO,DMSO,-,55,1000,0.331478
DMSO,DMSO,-,55,1050,0.297687
DMSO,DMSO,-,55,1100,0.266161
DMSO,DMSO,-,55,1150,0.331835
DMSO,DMSO,-,55,1200,0.294471
DMSO,DMSO,-,55,1250,0.23642
DMSO,DMSO,-,55,1300,0.276762
DMSO,DMSO,-,55,1350,0.243488
DMSO,DMSO,-,55,1400,0.188018
DMSO,DMSO,-,55,1450,0.236262
DMSO,DMSO,-,55,1500,0.220577
DMSO,DMSO,-,55,1550,0.197707
DMSO,DMSO,-,55,1600,0.241225
DMSO,DMSO,-,55,1650,0.205171
DMSO,DMSO,-,55,1700,0.189527
DMSO,DMSO,-,55,1750,0.139775
DMSO,DMSO,-,55,1800,0.170825
DMSO,DMSO,-,56,0,-0.0101
DMSO,DMSO,-,56,50,0.212419
DMSO,DMSO,-,56,100,0.527448
DMSO,DMSO,-,56,150,0.623696
DMSO,DMSO,-,56,200,0.679478
DMSO,DMSO,-,56,250,0.711777
DMSO,DMSO,-,56,300,0.754924
DMSO,DMSO,-,56,350,0.722137
DMSO,DMSO,-,56,400,0.725713
DMSO,DMSO,-,56,450,0.727013
DMSO,DMSO,-,56,500,0.683947
DMSO,DMSO,-,56,550,0.631984
DMSO,DMSO,-,56,600,0.627881
DMSO,DMSO,-,56,650,0.566857
DMSO,DMSO,-,56,700,0.576446
DMSO,DMSO,-,56,750,0.525579
DMSO,DMSO,-,56,800,0.473291
DMSO,DMSO,-,56,850,0.517129
DMSO,DMSO,-,56,900,0.520826
DMSO,DMSO,-,56,950,0.414015
DMSO,DMSO,-,56,1000,0.419215
DMSO,DMSO,-,56,1050,0.426
DMSO,DMSO,-,56,1100,0.34706
DMSO,DMSO,-,56,1150,0.323862
DMSO,DMSO,-,56,1200,0.344054
DMSO,DMSO,-,56,1250,0.311226
DMSO,DMSO,-,56,1300,0.289653
DMSO,DMSO,-,56,1350,0.28884
DMSO,DMSO,-,56,1400,0.292659
DMSO,DMSO,-,56,1450,0.267795
DMSO,DMSO,-,56,1500,0.251259
DMSO,DMSO,-,56,1550,0.237974
DMSO,DMSO,-,56,1600,0.243825
DMSO,DMSO,-,56,1650,0.239152
DMSO,DMSO,-,56,1700,0.209128
DMSO,DMSO,-,56,1750,0.18142
DMSO,DMSO,-,56,1800,0.18788
DMSO,DMSO,-,57,0,-0.00127
DMSO,DMSO,-,57,50,0.30373
DMSO,DMSO,-,57,100,0.519993
DMSO,DMSO,-,57,150,0.732018
DMSO,DMSO,-,57,200,0.762249
DMSO,DMSO,-,57,250,0.710669
DMSO,DMSO,-,57,300,0.712706
DMSO,DMSO,-,57,350,0.680071
DMSO,DMSO,-,57,400,0.727251
DMSO,DMSO,-,57,450,0.776183
DMSO,DMSO,-,57,500,0.636965
DMSO,DMSO,-,57,550,0.59223
DMSO,DMSO,-,57,600,0.604819
DMSO,DMSO,-,57,650,0.527611
DMSO,DMSO,-,57,700,0.563547
DMSO,DMSO,-,57,750,0.524148
DMSO,DMSO,-,57,800,0.469716
DMSO,DMSO,-,57,850,0.403835
